Profile of Respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,Total Consumer,,Usership,,,,,,Suatainability advocacy,,,,,,,,CRC/ CPN awareness,,,,,,,,,,NPS,,,,,,,,Gender,,,,,,Age,,,,,,,,,,Region,,,,,,,,,,,,,,Income,,,,,,,,Total Investor,,,,Investment,,,,,,highest proportion investment,,,,,,,,Industry,,,,,,Suatainability advocacy,,,,,,CRC/ CPN awareness,,,,,,,,,,NPS,,,,,,,,Gender,,,,,,Age,,,,,,,,,,,,Region,,,,,,,,,,,,,,Income,,,,,,,
,,Total,,Total Consumer,,Total,,CRC user,,Non CRC user,,Total,,Will buy the product/service even if it is more expensive than the regular product/service,,Will buy the product/service even if it is much more expensive than the regular product/service,,Will buy the product/service regardless of the price,,Total,,CRC Aware,,CPN Aware,,Both CRC and CPN Aware,,Non-aware,,Total,,Promoter,,Passive,,Detector,,Total,,Male,,Female,,Total,,25-29 yrs,,30-39 yrs,,40-49 yrs,,50-55 yrs,,Total,,GBKK,,UPC [Net],,Central,,North,,South,,Northeast,,Total,,A/A+,,B,,C,,Total Investor,,2,,Total,,CRC invester,,CRC non invester,,Total,,PTT,,CPALL,,OR,,Total,,Retail,,Non retail,,Total,,4,,5,,Total,,CRC Aware,,CPN Aware,,Both CRC and CPN Aware,,Non-aware,,Total,,Promoter,,Passive,,Detector,,Total,,Male,,Female,,Total,,25-29 yrs,,30-39 yrs,,40-49 yrs,,50-55 yrs,,>55 yrs,,Total,,GBKK,,UPC [Net],,Central,,North,,South,,Northeast,,Total,,A/A+,,B,,C,
,,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N
S3) When was the last time you traded stocks in the Stock Exchange of Thailand (SET)?,Total,100%,650,100%,400,100%,211,100%,169,100%,42,100%,194,100%,75,100%,58,100%,61,100%,400,100%,51,100%,53,100%,160,100%,136,100%,211,100%,80,100%,77,100%,54,100%,400,100%,200,100%,200,100%,400,100%,70,100%,128,100%,131,100%,71,100%,400,100%,200,100%,200,100%,49,100%,50,100%,51,100%,50,100%,400,100%,50,100%,101,100%,249,,,100%,250,100%,250,100%,32,100%,218,100%,155,100%,69,100%,58,100%,28,100%,250,100%,142,100%,108,100%,219,100%,65,100%,154,100%,250,100%,21,100%,56,100%,96,100%,77,100%,117,100%,54,100%,46,100%,17,100%,250,100%,125,100%,125,100%,250,100%,30,100%,91,100%,65,100%,36,100%,28,100%,400,100%,200,100%,200,100%,49,100%,50,100%,51,100%,50,100%,250,100%,83,100%,107,100%,60
,April or May 2023,24%,155,7%,29,8%,16,9%,15,2%,1,10%,20,13%,10,3%,2,13%,8,7%,29,4%,2,11%,6,9%,14,5%,7,8%,16,6%,5,8%,6,9%,5,7%,29,9%,17,6%,12,7%,29,7%,5,6%,8,8%,10,8%,6,7%,29,9%,17,6%,12,4%,2,10%,5,4%,2,6%,3,7%,29,8%,4,5%,5,8%,20,,,50%,126,50%,126,72%,23,47%,103,51%,79,58%,40,34%,20,68%,19,50%,126,52%,74,48%,52,48%,106,52%,34,47%,72,50%,126,67%,14,23%,13,63%,60,51%,39,63%,74,65%,35,61%,28,65%,11,50%,126,51%,64,50%,62,50%,126,50%,15,54%,49,45%,29,56%,20,46%,13,7%,29,9%,17,6%,12,4%,2,10%,5,4%,2,6%,3,50%,126,67%,56,40%,43,45%,27
,March 2023,16%,105,6%,23,6%,12,7%,11,2%,1,9%,18,9%,7,5%,3,13%,8,6%,23,6%,3,4%,2,6%,9,7%,9,6%,12,8%,6,8%,6,,,6%,23,8%,15,4%,8,6%,23,3%,2,9%,12,5%,7,3%,2,6%,23,6%,12,6%,11,4%,2,10%,5,2%,1,6%,3,6%,23,6%,3,9%,9,4%,11,,,33%,82,33%,82,13%,4,36%,78,35%,54,30%,21,45%,26,25%,7,33%,82,38%,54,26%,28,35%,77,23%,15,40%,62,33%,82,14%,3,66%,37,20%,19,30%,23,19%,22,19%,10,22%,10,12%,2,33%,82,30%,38,35%,44,33%,82,30%,9,32%,29,37%,24,25%,9,39%,11,6%,23,6%,12,6%,11,4%,2,10%,5,2%,1,6%,3,33%,82,11%,9,48%,51,37%,22
,February 2023,5%,34,5%,18,6%,13,7%,12,2%,1,8%,15,4%,3,10%,6,10%,6,5%,18,8%,4,2%,1,6%,9,3%,4,6%,13,8%,6,5%,4,6%,3,5%,18,5%,10,4%,8,5%,18,3%,2,5%,7,5%,6,4%,3,5%,18,6%,12,3%,6,2%,1,2%,1,2%,1,6%,3,5%,18,6%,3,6%,6,4%,9,,,6%,16,6%,16,,,7%,16,5%,7,6%,4,5%,3,,,6%,16,4%,6,9%,10,6%,14,9%,6,5%,8,6%,16,5%,1,5%,3,8%,8,5%,4,8%,9,7%,4,9%,4,6%,1,6%,16,7%,9,6%,7,6%,16,13%,4,5%,5,3%,2,11%,4,4%,1,5%,18,6%,12,3%,6,2%,1,2%,1,2%,1,6%,3,6%,16,11%,9,4%,4,5%,3
,January 2023,4%,27,3%,12,3%,6,3%,5,2%,1,5%,9,3%,2,7%,4,5%,3,3%,12,4%,2,2%,1,3%,4,4%,5,3%,6,4%,3,3%,2,2%,1,3%,12,3%,6,3%,6,3%,12,7%,5,3%,4,2%,3,,,3%,12,3%,5,4%,7,,,2%,1,4%,2,8%,4,3%,12,4%,2,4%,4,2%,6,,,6%,15,6%,15,16%,5,5%,10,8%,12,1%,1,16%,9,7%,2,6%,15,4%,6,8%,9,5%,12,6%,4,5%,8,6%,15,14%,3,4%,2,6%,6,5%,4,8%,9,7%,4,4%,2,18%,3,6%,15,8%,10,4%,5,6%,15,3%,1,2%,2,11%,7,8%,3,7%,2,3%,12,3%,5,4%,7,,,2%,1,4%,2,8%,4,6%,15,5%,4,6%,6,8%,5
,December 2022,2%,15,2%,8,3%,6,3%,5,2%,1,3%,6,4%,3,2%,1,3%,2,2%,8,4%,2,,,3%,4,1%,2,3%,6,3%,2,3%,2,4%,2,2%,8,2%,4,2%,4,2%,8,4%,3,1%,1,2%,2,3%,2,2%,8,4%,7,1%,1,2%,1,,,,,,,2%,8,4%,2,,,2%,6,,,3%,7,3%,7,,,3%,7,1%,2,3%,2,,,,,3%,7,1%,1,6%,6,3%,6,6%,4,1%,2,3%,7,,,2%,1,2%,2,5%,4,2%,2,2%,1,2%,1,,,3%,7,3%,4,2%,3,3%,7,,,5%,5,3%,2,,,,,2%,8,4%,7,1%,1,2%,1,,,,,,,3%,7,4%,3,1%,1,5%,3
,November 2022,2%,16,3%,12,3%,6,4%,6,,,4%,7,5%,4,3%,2,2%,1,3%,12,6%,3,2%,1,2%,3,4%,5,3%,6,5%,4,3%,2,,,3%,12,4%,7,3%,5,3%,12,3%,2,4%,5,2%,3,3%,2,3%,12,4%,7,3%,5,,,4%,2,2%,1,4%,2,3%,12,6%,3,3%,3,2%,6,,,2%,4,2%,4,,,2%,4,1%,1,1%,1,,,,,2%,4,1%,1,3%,3,2%,4,3%,2,1%,2,2%,4,,,,,1%,1,4%,3,1%,1,,,2%,1,,,2%,4,,,3%,4,2%,4,3%,1,1%,1,2%,1,,,4%,1,3%,12,4%,7,3%,5,,,4%,2,2%,1,4%,2,2%,4,2%,2,2%,2,,
,October 2022 or before,5%,33,8%,33,6%,13,5%,9,10%,4,8%,16,8%,6,10%,6,7%,4,8%,33,10%,5,13%,7,5%,8,10%,13,6%,13,5%,4,6%,5,7%,4,8%,33,7%,13,10%,20,8%,33,16%,11,10%,13,5%,7,3%,2,8%,33,7%,14,10%,19,4%,2,8%,4,8%,4,18%,9,8%,33,10%,5,11%,11,7%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,33,7%,14,10%,19,4%,2,8%,4,8%,4,18%,9,,,,,,,,
